Country,Population,Per capita GNI,Gross National Income(GNI) in USD,Gross Domestic Product (GDP),"Agriculture, hunting, forestry, fishing (ISIC A-B) (%)",Manufacturing (ISIC D) (%),"Mining, Manufacturing, Utilities (ISIC C-E) (%)",Other Activities (ISIC J-P) (%),"Transport, storage and communication (ISIC I) (%)","Wholesale, retail trade, restaurants and hotels (ISIC G-H) (%)",Construction (ISIC F) (%)
 Afghanistan ,37834278.6,490.2,18481469139.8,18260428364.6,26.64754959545874,6.607819850158434,10.311959659448263,35.43484608906511,8.84939267105412,10.947184673253908,3.026325775967662
 Albania ,2870362.0,5312.8,15245205295.2,15393981135.0,18.508809879738752,6.166922478822435,11.811473480800782,28.619392874161786,6.120101617235092,13.295114836451955,9.055506971036703
 Algeria ,42679711.2,3801.6,162000000000.0,165200000000.0,12.342519592251817,4.39324734661017,25.80859931234867,22.627621273002422,10.407717350847456,13.571407733050847,11.468403580992735
 Andorra ,76385.4,40827.8,3117875333.8,3117875333.8,0.5434264743147954,3.769345840289415,4.886301153494824,51.48958142092859,5.2580843442573695,21.6974520586587,6.753236927641266
 Angola ,32353601.8,2551.6,81616145100.2,86298213401.6,9.516977081993366,6.488812996557561,35.84959730583067,20.216043913461295,3.1527823007626194,20.462605188385737,10.503025123150406
 Anguilla ,15382.8,18595.0,285763999.4,308279259.6,1.5553478382624217,1.7987538983955702,4.676135403563815,37.55445395522806,7.213276958317957,26.028108119927506,8.317614825360115
 Antigua and Barbuda ,92149.0,15892.8,1463984577.0,1510601481.4,1.9298175037523833,2.4290054691323304,7.374545912450473,36.34750346538353,9.244441258628836,20.365888104046974,13.467139897907424
 Argentina ,44705308.8,10873.8,485200000000.0,498000000000.0,5.773002959558233,12.995999382289158,18.697098039317268,33.89558232931727,5.635208370963856,15.644972629598392,3.8416822346987947
 Armenia ,2821132.8,4628.6,13052232771.8,12821561494.0,12.543607713870236,11.490265861060807,19.09594207964261,33.476443381787675,6.424491431761019,12.83281192520871,6.709549407087217
 Aruba ,106193.0,27567.4,2927270445.6,3079929740.2,0.0263013597169719,3.440467274851506,4.489111605221936,44.9046577896998,7.924070137526964,26.341959337920358,4.866401679353478
 Australia ,25303574.8,56921.2,1444000000000.0,1480000000000.0,2.4491351887432433,5.595020876013514,18.567567567567565,48.945945945945944,6.544674673351351,9.891891891891893,7.222934265432432
 Austria ,8869561.6,50249.8,445800000000.0,446400000000.0,1.1389622027329749,16.645348299462366,19.474594774507167,40.098566308243726,8.148700240815412,14.571572037007169,6.050758519399642
 Azerbaijan ,10210957.0,4447.2,45438541497.0,46693704620.4,5.815718344638676,5.499730091405202,40.7266485313135,17.00343886856923,8.328564942137772,12.16799325088832,7.593709750866251
 Bahamas ,403972.0,27997.4,11303370000.0,11842862000.0,0.658016558835187,1.8115317057650422,4.985843793501942,49.643041822154146,7.3030674510941695,19.238918768115344,7.184570756629604
 Bahrain ,1475819.2,23637.6,34886844045.6,37104202127.8,0.2930294828211325,17.920421630136936,33.44135354443669,42.2224104322194,7.3244611686820225,6.496989008675751,8.212085748953593
 Bangladesh ,165554269.2,2191.6,363600000000.0,348600000000.0,12.154112137234653,20.8237792551922,23.946569064773378,27.416247730464715,8.536981301032704,15.23284056288009,8.625544455134824
 Barbados ,280189.6,17142.4,4802987543.0,4983744200.0,1.3986953824797028,4.922381449673922,7.418109460754427,41.42008331808041,11.285097658102115,19.848895936512953,5.221732688447372
 Belarus ,9657865.6,6161.4,59488036546.8,61748892945.2,6.94978842974316,21.802998419336916,26.17515076771333,26.058803668723623,11.82763713752981,10.369589251555547,5.453305408063609
 Belgium ,11503357.6,47394.8,545400000000.0,540200000000.0,0.6698806640503517,12.311583267863755,14.585651245612738,48.79674194742688,8.868363706293964,11.652116938541281,4.727543855757127
 Belize ,388161.2,5588.6,2169179740.8,2317947110.0,7.598281144559851,6.833994232077194,10.395830524364294,36.936603613876244,7.88382526122436,17.986137095250633,4.709083280161643
 Benin ,12293584.8,1199.6,14788427231.8,14946023132.8,27.81717918177154,9.561077049746878,10.729484837212174,21.572919206341133,10.82435021560761,15.30659604145424,5.091459483492979
 Bermuda ,63774.8,112739.4,7189417215.0,7180805221.2,0.24441939113155567,0.4514910264420472,2.022170685974044,75.52590458502493,4.5915878406864925,9.571621705749884,3.8083495203661824
 Bhutan ,767133.6,2901.4,2225330679.6,2425942737.8,16.571736963774264,6.976627096873926,24.704327487280068,20.252726609926494,9.75484597854138,11.474214467750905,12.674008030330844
 Bolivia (Plurinational State of) ,11767077.4,3248.8,38222103913.0,39145941235.2,12.425859635292403,10.596677606693921,22.739389851215876,31.83773127874907,9.038921715384122,9.490144677015632,2.8224048489770723
 Bosnia and Herzegovina ,3358043.4,6029.6,20214618262.6,20356604771.6,5.650739967230735,13.4060229926324,20.24057247969132,31.530849054724296,7.826203620274839,16.03133623124078,4.315376794196874
 Botswana ,2497555.2,6244.8,15601798291.2,16475590404.6,1.9900585663288721,5.932543261861517,20.977597479207972,42.52003348204188,4.672386689007941,14.065807340979857,11.048719428541746
 Brazil ,211595391.4,8235.8,1740000000000.0,1784000000000.0,5.090731567399103,10.571748878923767,15.31390134529148,42.56726457399103,6.693804361692826,13.038116591928251,3.516933436827354
 British Virgin Islands ,30607.4,42664.6,1306580258.2,1431678456.4,0.12975878708626493,2.028140625445539,3.553310505762528,71.99590980727983,7.506959856771927,17.727461837917755,3.4110167252775883
 Brunei Darussalam ,437939.2,30503.2,13358684651.2,13035318946.8,1.1120194572268953,14.978087314689748,58.999569724283475,28.704374428203312,3.823956917620084,6.456810547060822,2.564671975917164
 Bulgaria ,7043486.8,9635.8,67743568587.6,69754684508.0,3.725416172016328,12.933971994046194,18.33633233812862,34.85106403629697,10.90405206796925,15.18245158830215,3.698276179149141
 Burkina Faso ,20960705.8,771.8,16222600713.4,16769281488.0,19.03383794281264,9.885068363759105,25.426316562526296,29.029981714384114,4.12138881856427,9.798515722786465,3.3969639415238846
 Burundi ,11859068.6,295.6,3509350996.8,3499712303.4,34.87944791387849,12.653271760932713,13.751323511148472,31.093383800229095,3.9111590134714955,5.443801052301092,3.5215817677432004
 Cabo Verde ,576750.2,3166.0,1825924922.6,1871601278.0,5.165565782435847,7.101440395575537,10.17852994862082,32.70409477675084,12.017272431035389,15.2334426756039,10.869166354565825
 Cambodia ,16209911.2,1464.8,23761945784.4,25161532056.0,22.285527729869965,16.692611328484045,19.39454921401071,17.08333408964658,7.462392325797413,12.89940427624333,14.436922857142893
 Cameroon ,25788396.8,1533.8,39594487680.6,40383092801.6,16.929598870468702,13.314240666546898,18.270916822665118,22.548116129528424,12.38237594521706,16.14218546119312,5.681461560836907
 Canada ,37431180.6,46154.2,1728000000000.0,1750000000000.0,1.7960623916571428,9.805714285714286,16.857142857142858,48.38857142857143,7.234285714285714,11.84,7.062857142857143
 Cayman Islands ,66009.2,60867.2,4022104281.0,5611446941.6,0.42094510107342964,0.8889246805526633,3.4903545741119366,69.88672687123034,5.669378050098606,10.976097516559292,4.109428634003072
 Central African Republic ,5220203.8,463.0,2419096512.2,2271527081.0,31.936706890618836,18.41365248508785,19.16162999951485,22.359446675687682,2.1208439116997697,18.47276880429144,1.5967474965798127
 Chad ,16128280.2,906.4,14614502805.4,15065970400.2,38.78884986872417,8.784432126472458,25.102431831074057,16.70216030138089,4.035662036027421,11.502023230956276,2.40662092894585
 Chile ,18980602.2,14256.8,270600000000.0,284200000000.0,3.8328243836030964,9.302097972765658,22.920452553342717,38.02863377515834,8.04314396572836,10.99857343877551,6.3558199512315285
 China ,1420006540.4,10208.8,14500000000000.0,14580000000000.0,7.650205761316872,27.270233196159122,32.15363511659808,34.128943758573385,7.670781893004115,11.316872427983538,7.074074074074074
" China, Hong Kong SAR ",7486946.4,50139.4,375400000000.0,356000000000.0,0.07782247848314605,0.9860210715730338,2.26102151005618,59.157303370786515,8.402361578595507,21.590308813202245,4.139492249719101
" China, Macao SAR ",663228.6,63157.2,41722819160.8,43284302193.2,,0.6045463120371366,1.3548479381333993,54.71525556976783,2.589629932802971,10.793577460823577,3.6766466634871895
 Colombia ,50052652.4,6102.8,305200000000.0,310600000000.0,6.747401181777205,11.188546258016743,19.85656885408886,37.86220218931101,7.447435954732776,12.933794745074048,5.928462500515132
 Comoros ,791350.8,1527.6,1210283548.2,1206933146.0,35.19825528099301,6.6073949053678565,7.7796491140529165,26.075328500423833,6.514065361496005,19.746476264228804,0.8738204129162261
 Congo ,5572423.0,1810.8,10071576569.8,12199649000.8,8.233186739504838,9.302938170807836,41.607887175009196,24.675075692772797,6.421342443119711,14.93697450377879,2.0743847071616974
 Cook Islands ,17158.0,19530.0,335211435.8,335211435.8,2.701012206934976,2.6163136645590535,4.9250630607513415,38.380923399272646,12.33360595271195,27.078986247401765,3.249714668594847
 Costa Rica ,5079234.0,11635.0,59098010403.4,62758864751.4,4.447784439787418,12.472573300691172,15.429356187938357,47.61458782909771,8.809505663144849,11.86457555676849,4.332600922229625
 Croatia ,4127941.6,14852.4,61268374308.6,61479153694.6,2.936962219697237,12.053176498184085,15.618407517284016,37.046699899189605,8.308875430158498,14.50546149594004,4.460669476393388
 Cuba ,11307683.2,9314.2,105414407219.2,106770200000.0,3.147608004667969,11.576998584249163,13.392469347439642,45.45204670479217,7.6037135361739505,21.900903800124006,9.630754633970904
 Curaçao ,185795.8,16558.8,3067564263.4,2844173978.6,0.1799473955710425,6.841281295168095,12.189578450846177,52.26437426769868,7.120594328047693,13.95980743046659,4.008287856431203
 Cyprus ,870904.4,27713.8,24142058920.0,25581079795.6,1.7808679525653106,5.424933935895455,7.303786544309075,46.80648366790008,12.327907669254948,14.396855572271278,5.235265307410329
 Czechia ,10528894.6,22448.8,236200000000.0,249800000000.0,1.9249350698158525,22.173793723939152,26.252525501921536,34.86887223626901,10.78932277093675,11.499709493835066,5.053992619135308
 Côte d'Ivoire ,26155918.8,2212.4,57992095281.6,59850432408.2,20.110723388108593,11.403035365647503,17.25541691956942,29.08147738731345,9.86558734802227,13.190845721472769,3.677730132319689
 D.P.R. of Korea ,25387590.8,664.6,16868904301.0,16756252530.4,22.718233107872166,18.65258383000384,34.72489397282377,32.06144962934474,1.3612143203630456,0.3386135527443352,9.475525883364673
 D.R. of the Congo ,90004960.0,501.6,45223561371.8,46053132735.6,19.98030467857187,18.837292810471336,41.07816762913974,13.474464594247006,8.651288242374317,12.383918327865077,1.040445976934814
 Denmark ,5795945.8,63521.2,368400000000.0,357600000000.0,1.156274486689038,12.910917016331098,15.47261236347875,43.45637583892618,9.220505550111858,12.863072894071587,4.8267757814876955
 Djibouti ,1073427.6,2961.4,3182448283.4,3196287522.4,1.277851185594579,2.771332590676574,7.115799564527937,27.307719048523353,22.550599110645265,29.31712465267796,3.7956069392939162
 Dominica ,71412.2,7569.2,540596653.2,548367563.4,13.68587312763,2.342845977311867,6.5855033394194376,31.958967578861724,13.365187967279393,11.172689102930992,6.752941288211869
 Dominican Republic ,10882438.8,7486.6,81499457423.2,85516578132.6,5.479748371051345,14.332601948589394,17.71534276162156,31.443253396442316,9.206835422240276,16.913915624374198,12.132407313249164
 Ecuador ,17288537.6,5930.6,102685371400.0,105058224800.0,9.259216418817692,15.241756112368654,21.536463654390626,33.404198735328336,7.247689188062504,11.578544205517547,10.423276445843772
 Egypt ,105575226.8,2850.2,302600000000.0,312000000000.0,11.358829205897436,16.014706479487177,26.846519853782052,27.173606930448717,8.877670091089744,15.740134304166666,6.35301703724359
 El Salvador ,6286022.2,3946.4,24808620160.8,26236227361.2,5.1980673532996216,15.482844251484662,19.21205287332689,38.32773154676636,7.602466602914705,14.265498513460106,5.5002110278022736
 Equatorial Guinea ,1547266.2,6770.2,10449383135.4,11833582674.0,2.499264262967535,24.37526982709615,48.98874315330617,29.28881804675344,6.859253667812758,7.827846290669351,4.415101187807868
 Eritrea ,3503461.0,576.8,2022828240.2,2046159859.6,17.596835716950647,6.145145747536098,15.889942766424896,28.27387102164616,12.528671237354578,11.615327183989493,16.030529905132738
 Estonia ,1324976.2,23285.2,30860473891.2,31438513786.6,2.1729499760614486,13.11627522722649,17.398684385428627,37.12716507157231,12.167069814955399,12.439404593186845,5.943102825033593
 Eswatini ,1170871.4,3478.6,4071441716.0,4453307697.4,8.475597678111612,28.717958391841346,30.517927799901774,32.901109080233304,4.890455144771422,15.093265484269702,2.767352592140695
 Ethiopia ,114184383.8,774.4,88605337001.0,89089285029.4,34.520252811829224,5.45505715170597,6.491819650018973,17.48790832282306,4.02442698155768,15.210365314670732,17.529510748735188
 Fiji ,920302.4,5092.0,4684973364.8,5037966089.6,12.297770103672752,10.687451559300785,13.390904372950304,31.92350461667546,8.812637927764426,13.16131354613078,2.685534042781581
 Finland ,5522119.6,50041.4,276400000000.0,274000000000.0,2.3584603667153288,14.611792058540146,17.6895756829927,41.67883211678832,8.954459850948906,9.196257999051095,6.480389375839415
 France ,66662746.4,42065.8,2806000000000.0,2744000000000.0,1.5855117896064141,9.635568513119534,12.04810495626822,49.927113702623906,8.972303206997085,11.428571428571429,4.941690962099125
 French Polynesia ,299745.0,19841.4,5946789740.8,5946789740.8,2.9776833168508583,4.882973009920748,7.319313962182317,51.4832728252493,11.000515866767401,13.557706607120403,3.0404379922750806
 Gabon ,2241752.8,6842.6,15345864625.4,16501800534.6,5.824512779588618,7.616440287014206,42.22003092687897,27.433652510269752,10.673182023422711,5.290320324558215,3.5359604473254764
 Gambia ,2509778.4,689.4,1734230469.6,1767967260.4,20.959910632969546,3.3092525472877248,5.828335032442097,13.25724408193911,6.390400553822381,34.39303231567919,11.43060953257005
 Georgia ,3767785.6,4344.0,16366184282.8,17172414709.2,6.567375085553935,9.1825800919844,13.2853918649993,35.4271340683422,8.160802399264245,16.374925730704064,7.415032516759666
 Germany ,83081350.6,48914.0,4064000000000.0,3940000000000.0,0.7842518928629442,19.49238578680203,22.401015228426395,43.807106598984774,8.335025380710661,10.375634517766498,4.6091370558375635
 Ghana ,31525725.0,2121.4,67016983018.0,69031882517.6,18.73066361025777,10.435803419620344,23.632235208189094,16.983569523561652,9.826344008321898,17.946397106643346,6.385686130283523
 Greece ,10571424.0,19184.2,202800000000.0,204200000000.0,3.874405198922625,8.288427138883447,12.74282044779628,44.00107756787464,8.811563176297748,16.22253622066601,1.4521711539666993
 Greenland ,56011.8,52980.4,2967764622.8,3050042083.6,18.1772435134934,3.763945691677079,6.5693239800647065,38.61075233460428,10.829067965191928,10.852704084964712,11.176882175921724
 Grenada ,122751.2,8529.8,1046978327.6,1132877297.8,5.061765127729087,3.186173707434673,6.461546536606747,45.10095456870934,9.404322251570854,12.009834327531884,7.069175360431519
 Guatemala ,17101287.6,4419.8,75647627494.4,77152887156.2,9.563293398291286,14.00544460367827,16.87932991468548,33.25867165132778,6.857804630548834,22.356640653873296,5.0614581674617085
 Guinea ,12882050.2,952.8,12304052437.6,13167689210.8,24.37079418435814,9.770127040550337,27.121802720486794,16.168896939439907,4.361938095629647,17.728256808228345,2.4158165074179596
 Guinea-Bissau ,1970357.4,721.8,1422372937.0,1420541309.8,35.28364560341911,10.639212992776566,11.695364144207163,18.528735418265132,6.184083700625937,24.44356170457916,1.7825124567172939
 Guyana ,789857.6,7793.4,6171127876.4,5645068446.8,17.47829679477678,4.238907794566159,28.86867183911291,28.167233857037665,5.109665204564689,6.501928234511695,7.129268294844797
 Haiti ,11158154.4,1447.4,16166562410.6,16124921693.2,19.40194992152633,17.2803678344377,19.3595113414811,24.37175799407001,4.4549414481990075,23.791320796415462,4.356641072534644
 Honduras ,9955725.8,2315.2,23067813174.4,24922106607.2,11.6012333996064,16.54245028953108,20.71538118815563,33.830364609564,6.77307611111951,16.816475868011953,5.839089967537437
 Hungary ,9759490.8,16004.8,156000000000.0,161400000000.0,3.453228297521685,17.810295629368028,20.119344893432466,36.75545924708798,9.236824155885998,10.37434714684015,4.574478220322181
 Iceland ,358871.2,69967.4,25081878197.0,24623121800.8,4.185432529381862,8.80788552704774,12.810969999334173,45.08718990960482,9.533771710148182,11.033928321435377,6.974410109705118
 India ,1382052401.0,2016.4,2788000000000.0,2820000000000.0,16.879432624113473,14.198581560283689,18.602836879432623,32.347517730496456,5.73758865248227,10.347517730496454,7.00709219858156
 Indonesia ,269351946.8,3907.2,1052600000000.0,1086000000000.0,13.11233885819521,19.723756906077348,28.655616942909763,18.895027624309392,9.091155589815838,15.65377532228361,10.534069981583794
 Iran (Islamic Republic of) ,86380093.0,6162.4,532400000000.0,537600000000.0,12.038795015550594,16.53974730096726,31.361607142857146,29.538690476190478,8.235084715550595,11.56721808296131,3.8272954166666664
 Iraq ,41573191.6,4797.6,199200000000.0,206600000000.0,3.873662059148112,2.165983867376573,44.70938111016457,28.235057297192647,9.585900712971926,8.745673130493707,5.7430153551790895
 Ireland ,4887005.0,64565.2,316200000000.0,410200000000.0,0.9805785491955145,33.105802047781566,34.42223305704534,32.03315455875183,15.961870279570942,8.000321876889323,2.313064162116041
 Israel ,8606241.4,46395.2,399800000000.0,403200000000.0,1.1448261811507936,11.276842764136905,12.853114119543651,47.96626984126984,12.663311609474206,10.299547787896826,5.718795744295635
 Italy ,59670059.4,34130.6,2038000000000.0,2014000000000.0,1.9516406319364448,14.86593843098312,17.686196623634558,44.160873882820255,8.192651439920557,13.862959285004967,3.986727250238332
 Jamaica ,2816423.0,5127.0,14439289993.6,14968109806.6,7.41882147410729,7.847969903868783,12.870121234349657,33.74988945479613,6.309781050534213,19.30239306719972,7.189153730857291
 Japan ,125713461.2,41396.2,5202000000000.0,5014000000000.0,1.0579186310450737,20.22337455125648,23.33466294375748,44.51535700039888,9.988033506182688,14.986039090546468,5.552453131232548
 Jordan ,10690185.6,4060.6,43406077859.2,43556901408.4,4.996540061456922,17.627581212008074,21.57837893764274,43.11601466806418,8.583235787013555,9.321787268864284,2.760190652056218
 Kazakhstan ,18756575.8,8486.0,159200000000.0,178400000000.0,4.778363391255605,12.255155230605382,27.886232324663673,27.71724422522422,9.670225631614349,18.13803749159193,5.631761924439462
 Kenya ,50968857.0,1871.0,95598347713.2,97047753574.2,21.501170285045426,7.93685405825582,10.888823808085874,32.418792239168376,13.668765238195624,9.136175580427999,6.337920065813026
 Kiribati ,124440.2,2925.0,363882284.4,192987717.4,26.124745594819913,4.438803834466203,6.082340036008944,50.52004547932955,8.598651366814911,6.576510241682354,4.9759658953300825
 Kosovo ,1692238.8,4847.8,8192751093.0,8021066883.6,7.079901522341172,13.00192032474277,19.313810360657442,25.328944035536555,6.1734764986494515,14.798911160147805,8.189618592298457
 Kuwait ,4298749.4,33752.2,145000000000.0,127600000000.0,0.4463259006269593,7.1772818242946705,52.60385198322884,45.476179240282136,6.973288418181818,5.232245876645768,2.706940329937304
 Kyrgyzstan ,6324203.0,1246.0,7881240130.4,8273323912.4,12.631773701421988,14.25134893162871,18.666562290464007,24.516651953635407,6.512677019600649,18.917366557524076,8.944936321069552
 Lao People's DR ,7211886.4,2414.4,17416857511.2,18428746968.6,16.080826829134832,7.878759906324238,24.482241149045155,23.75893706750821,2.8840596916632193,13.798805429000815,7.786304509172001
